Address: line1,Address: line2,Site,Program Name in HMIS,Building Number,Unit Number,Status,Family Size,Household Type,Staff Assigned,Unit Type,Bed Inventory,Disability Required,Chronic Homeless,Age Range,AMI Limit,Additional Details,Unit Notes,Assigned Programs
1803 Hewitt Ave.,202,Commerce Bldg 8,,1,202,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,204,Commerce Bldg 8,,1,204,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,205,Commerce Bldg 8,,1,205,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,206,Commerce Bldg 8,,1,206,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,207,Commerce Bldg 8,,1,207,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,208,Commerce Bldg 8,,1,208,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,209,Commerce Bldg 8,,1,209,,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,210,Commerce Bldg Homeless,,1,210,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,211,Commerce Bldg Homeless,,1,211,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,212,Commerce Bldg Homeless,,1,212,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,213,Commerce Bldg Homeless,,1,213,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,214,Commerce Bldg Homeless,,1,214,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,Handicapped Equipped,,
1803 Hewitt Ave.,301,Commerce Bldg Homeless,,1,301,,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,302,Commerce Bldg Homeless,,1,302,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,303,Commerce Bldg Homeless,,1,303,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,304,Commerce Bldg Homeless,,1,304,,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,305,Commerce Bldg Homeless,,1,305,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,306,Commerce Bldg Homeless,,1,306,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,307,Commerce Bldg Homeless,,1,307,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,308,Commerce Bldg Homeless,,1,308,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,309,Commerce Bldg Homeless,,1,309,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,310,Commerce Bldg Homeless,,1,310,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,311,Commerce Bldg Homeless,,1,311,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,312,Commerce Bldg Homeless,,1,312,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,313,Commerce Bldg Homeless,,1,313,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,314,Commerce Bldg Homeless,,1,314,Occupied,,Non-Dedicated,Timothy,SRO,,,Dedicated,Unspecified,,Handicapped Equipped,,
1803 Hewitt Ave.,405,Commerce Bldg Homeless,,1,405,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
1803 Hewitt Ave.,406,Commerce Bldg Homeless,,1,406,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
3504 Norton Ave.,3,Crossroads,,1,3,Occupied,,Non-Dedicated,Siobhan,1 Bedroom,,No,Non-Dedicated,Unspecified,,,Able to Self Certify,
3504 Norton Ave.,4,Crossroads,,1,4,Occupied,,Non-Dedicated,Siobhan,1 Bedroom,,No,Non-Dedicated,Unspecified,,,Able to Self Certify,
3504 Norton Ave.,6,Crossroads,,1,6,Occupied,,Non-Dedicated,Siobhan,Studio,,No,Non-Dedicated,Unspecified,,,Able to Self Certify,
3504 Norton Ave.,7,Crossroads,,1,7,Occupied,,Non-Dedicated,Siobhan,Studio,,No,Non-Dedicated,Unspecified,,,Able to Self Certify,
3504 Norton Ave.,8,Crossroads,,1,8,Occupied,,Non-Dedicated,Siobhan,1 Bedroom,,No,Non-Dedicated,Unspecified,,,Able to Self Certify,
14624 179th Ave. SE,26,Fairview PSH,,D,26,"Client Assigned, Awaiting Move-In",,Family,Jami,2 Bedroom,,Yes,Dedicated,Unspecified,,Handicapped Equipped,All PBV? Need AMI all are 30%,
14624 179th Ave. SE,27,Fairview ,,D,27,Occupied,,Family,Jami,2 Bedroom,,No,Prioritized,Unspecified,,,All PBV? Need AMI all are 30%,
14624 179th Ave. SE,28,Fairview,,D,28,Occupied,,Family,Jami,2 Bedroom,,No,Prioritized,Unspecified,,,All PBV? Need AMI all are 30%,
14624 179th Ave. SE,29,Fairview PSH,,D,29,Occupied,,Family,Jami,2 Bedroom,,Yes,Dedicated,Unspecified,,,All PBV? Need AMI all are 30%,
14624 179th Ave. SE,30,Fairview PSH,,D,30,Occupied,,Family,Jami,2 Bedroom,,Yes,Dedicated,Unspecified,,,All PBV? Need AMI all are 30%,
14624 179th Ave. SE,31,Fairview PSH,,D,31,Occupied,,Family,Jami,2 Bedroom,,Yes,Dedicated,Unspecified,,,All PBV? Need AMI all are 30%,
14624 179th Ave. SE,32,Fairview,,D,32,Occupied,,Family,Jami,2 Bedroom,,No,Prioritized,Unspecified,,,All PBV? Need AMI all are 30%,
5826 Evergreen Way,101,Hope Village PSH,,5826,101,Occupied,,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,210,Hope Village PSH,,5826,210,"Client Assigned, Awaiting Move-In",,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,220,Hope Village PSH,,5826,220,Occupied,,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,230,Hope Village PSH,,5826,230,Occupied,,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,240,Hope Village PSH,,5826,240,Occupied,,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,250,Hope Village PSH,,5826,250,Occupied,,Family,Bonnie,3 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,260,Hope Village PSH,,5826,260,Occupied,,Family,Bonnie,3 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,310,Hope Village PSH,,5826,310,Occupied,,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,320,Hope Village PSH,,5826,320,Occupied,,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,330,Hope Village PSH,,5826,330,Occupied,,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,340,Hope Village PSH,,5826,340,Occupied,,Family,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,350,Hope Village PSH,,5826,350,Occupied,,Family,Bonnie,3 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5826 Evergreen Way,360,Hope Village PSH,,5826,360,Occupied,,Family,Bonnie,3 Bedroom,,Yes,Dedicated,Unspecified,30%,CoC Unit,,
5902 Evergreen Way,C,Hope Village II PSH,,5902,C,"Not Occupied, Not Advertising",,Family with children,Melissa,3 Bedroom,,Yes,Prioritized,Unspecified,50%,,,
5902 Evergreen Way,D,Hope Village II,,5902,D,"Not Occupied, Not Advertising",,Family with children,Melissa,3 Bedroom,,No,Prioritized,Unspecified,50%,,,
5908 Evergreen Way,A,Hope Village II PSH,,5908,A,Occupied,,Family with children,Melissa,2 Bedroom,,Yes,Dedicated,Unspecified,50%,,,
5908 Evergreen Way,B,Hope Village II PSH,,5908,B,Occupied,,Family with children,Melissa,2 Bedroom,,Yes,Prioritized,Unspecified,50%,,,
5908 Evergreen Way,C,Hope Village II,,5908,C,Occupied,,Family with children,Melissa,2 Bedroom,,No,Prioritized,Unspecified,50%,,,
5908 Evergreen Way,D,Hope Village II,,5908,D,Occupied,,Family with children,Melissa,2 Bedroom,,No,Prioritized,Unspecified,50%,,,
5914 Evergreen Way,A,Hope Village II,,5914,A,Occupied,,Family with children,Melissa,3 Bedroom,,No,Prioritized,Unspecified,50%,,,
5914 Evergreen Way,B,Hope Village II PSH,,5914,B,"Not Occupied, Not Advertising",,Family with children,Melissa,3 Bedroom,,Yes,Prioritized,Unspecified,50%,,,
5914 Evergreen Way,D,Hope Village II PSH,,5914,D,Occupied,,Family with children,Melissa,3 Bedroom,,Yes,Dedicated,Unspecified,50%,,,
27522 72nd Ave NW,102,Lincoln Hill Village PSH,,B,102,Occupied,,Family,Joan,2 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,201,Lincoln Hill Village,,B,201,Occupied,,Family,Joan,2 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,203,Lincoln Hill Village,,B,203,Occupied,,Family,Joan,2 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,101,Lincoln Hill Village,,C,101,Occupied,,Family,Joan,3 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,102,Lincoln Hill Village ,,C,102,Occupied,,Family,Joan,3 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,103,Lincoln Hill Village,,C,103,Occupied,,Family,Joan,3 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,101,Lincoln Hill Village PSH,,E,101,"Client Assigned, Awaiting Move-In",,Family,Joan,3 Bedroom,,Yes,Dedicated,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,201,Lincoln Hill Village,,E,201,Occupied,,Family,Joan,2 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,202,Lincoln Hill Village,,E,202,"Not Occupied, Not Advertising",,Family,Joan,3 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,103,Lincoln Hill Village PSH,,F,103,Occupied,,Family,Joan,2 Bedroom,,Yes,Dedicated,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,104,Lincoln Hill Village,,F,104,"Client Assigned, Awaiting Move-In",,Family,Joan,2 Bedroom,,No,Dedicated,Unspecified,,,All 50% (AMI) ?,
27522 72nd Ave NW,201,Lincoln Hill Village,,F,201,Occupied,,Family,Joan,2 Bedroom,,No,Prioritized,Unspecified,,,All 50% (AMI) ?,
3010 188th St. NE,3010,Maple Leaf Meadows PSH,,3010,3010,Occupied,,Family,Joan,3 Bedroom,,Yes,Dedicated,Unspecified,50%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3012 188th St. NE,A,Maple Leaf Meadows PSH,,3012,A,Occupied,,Family,Joan,3 Bedroom,,Yes,Dedicated,Unspecified,30%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3012 188th St. NE,B,Maple Leaf Meadows PSH,,3012,B,Occupied,,Family,Joan,3 Bedroom,,Yes,Dedicated,Unspecified,50%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3012 188th St. NE,C,Maple Leaf Meadows PSH,,3012,C,"Not Occupied, Not Advertising",,Family,Joan,3 Bedroom,,Yes,Dedicated,Unspecified,50%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3012 188th St. NE,D,Maple Leaf Meadows,,3012,D,Occupied,,Family,Joan,3 Bedroom,,No,Prioritized,Unspecified,50%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3016 188th St. NE,C,Maple Leaf Meadows,,3016,C,Occupied,,Family,Joan,3 Bedroom,,No,Prioritized,Unspecified,30%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3018 188th St. NE,A,Maple Leaf Meadows PSH,,3018,A,Occupied,,Family,Joan,3 Bedroom,,Yes,Dedicated,Unspecified,50%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3018 188th St. NE,B,Maple Leaf Meadows PSH,,3018,B,Occupied,,Family,Joan,3 Bedroom,,Yes,Dedicated,Unspecified,50%,,"Rent all at no more than 50% because of Tax Exemption and PBV, 3018B did not have a disability at move in.  Need to make next referral request a PSH request.  ",
3018 188th St. NE,C,Maple Leaf Meadows PSH,,3018,C,Occupied,,Family,Joan,3 Bedroom,,Yes,Dedicated,Unspecified,50%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3018 188th St. NE,D,Maple Leaf Meadows ,,3018,D,Occupied,,Family,Joan,3 Bedroom,,No,Prioritized,Unspecified,30%,,Rent all at no more than 50% because of Tax Exemption and PBV,
3020 188th St. NE,A,Maple Leaf Meadows PSH,,3020,A,Occupied,,Family,Joan,2 Bedroom,,Yes,Dedicated,Unspecified,30%,ADA,Rent all at no more than 50% because of Tax Exemption and PBV,
3020 188th St. NE,B,Maple Leaf Meadows PSH,,3020,B,Occupied,,Family,Joan,2 Bedroom,,Yes,Dedicated,Unspecified,30%,ADA,Rent all at no more than 50% because of Tax Exemption and PBV,
17428 W. Main St.,101,Monroe Family Village PSH,,A,101,Occupied,,Family,Jami,2 bedroom,,Yes,Dedicated,Unspecified,30%,,,
17428 W. Main St.,104,Monroe Family Village PSH,,B,104,Occupied,,Family,Kathryn,3 bedroom,,Yes,Dedicated,Unspecified,30%,,,
17428 W. Main St.,203,Monroe Family Village PSH,,B,203,Occupied,,Family,Kathryn,2 bedroom,,Yes,Dedicated,Unspecified,30%,,,
17428 W. Main St.,106,Monroe Family Village PSH,,C,106,Occupied,,Family,Kathryn,2 bedroom,,Yes,Dedicated,Unspecified,30%,,,
17428 W. Main St.,103,Monroe Family Village PSH,,D,103,Occupied,,Family,Kathryn,2 bedroom,,Yes,Dedicated,Unspecified,30%,,,
17428 W. Main St.,101,Monroe Family Village PSH,,E,101,Occupied,,Family,Jami,3 bedroom,,Yes,Dedicated,Unspecified,30%,,,
17428 W. Main St.,102,Monroe Family Village PSH,,E,102,Occupied,,Family,Kathryn,2 bedroom,,Yes,Dedicated,Unspecified,30%,PBV|Handicapped Equipped,,
17428 W. Main St.,103,Monroe Family Village PSH,,E,103,Occupied,,Family,Jami,2 bedroom,,Yes,Dedicated,Unspecified,50%,Handicapped Equipped,this one not on original property map as PBV homeless,
17428 W. Main St.,204,Monroe Family Village PSH,,F,204,Occupied,,Family,Kathryn,2 bedroom,,Yes,Dedicated,Unspecified,30%,PBV,,
17428 W. Main St.,102,Monroe Family Village PSH,,G,102,Occupied,,Family,Jami,3 bedroom,,Yes,Dedicated,Unspecified,30%,PBV,,
2505 Howard Ave.,100,New Century Village T & YF,,1,100,Occupied,,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,60%,,New Century House,
2505 Howard Ave.,101,New Century Village T & YF,,1,101,Occupied,,Family with children,Susan,2 Bedroom,,No,Prioritized,18-24,60%,,New Century House,
2505 Howard Ave.,102,New Century Village MH PSH,,1,102,Occupied,,Family with children,Kathryn/Melissa,2 Bedroom,,Yes,Dedicated,18-24,60%,,New Century House,
2505 Howard Ave.,103,New Century Village Other,,1,103,Occupied,,Family with children,Susan,3 Bedroom,,No,Prioritized,18-24,60%,,New Century House,
2505 Howard Ave.,104,New Century Village MH PSH,,1,104,Occupied,,Family with children,Susan,3 Bedroom,,Yes,Dedicated,18-24,60%,,New Century House,
2505 Howard Ave.,201,New Century Village T & YF,,1,201,Occupied,,Family with children,Susan,2 Bedroom,,No,Prioritized,18-24,60%,,New Century House,
2505 Howard Ave.,202,New Century Village T & YF,,1,202,Occupied,,Family with children,Susan,2 Bedroom,,No,Prioritized,18-24,60%,,New Century House,
2505 Howard Ave.,203,New Century Village Other PSH,,1,203,Occupied,,Family with children,Susan,3 Bedroom,,Yes,Dedicated,18-24,60%,,New Century House,
2505 Howard Ave.,204,New Century Village Other,,1,204,Occupied,,Family with children,Susan,3 Bedroom,,No,Prioritized,18-24,60%,,New Century House,
2505 Howard Ave.,205,New Century Village Other,,1,205,Occupied,,Family with children,Susan,2 Bedroom,,No,Prioritized,18-24,60%,,New Century House,
2507 Howard Ave.,100,New Century Village T & YF,,A,100,Occupied,,Family with children,Susan,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,101,New Century Village T & YF,,A,101,Undergoing Renovation,,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,30%,,"New Century Village,  posted with the county 5/08 waiting for a referral. Referral received 5/17; emailed navigator for contact info of client 5/23./ navi called 5/26 to give us contact information CT was in the hospital just had a baby.// app sent to certs 5/31.//screening sent to Kathyrn to review 06/06. Kathryn approved moving forward 6/7./certs to call and start REA and also ask to move to SP 205 due to this unit taking a long time to turn7/19. ",
2507 Howard Ave.,102,New Century Village T & YF,,A,102,Occupied,,Family with children,Susan,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,103,New Century Village T & YF,,A,103,Occupied,,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,104,New Century Village T & YF,,A,104,Occupied,,Family with children,Susan,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,105,New Century Village MH PSH,,A,105,Occupied,,Family with children,Susan,1 Bedroom,,Yes,Dedicated,18-24,30%,,New Century Village,
2507 Howard Ave.,106,New Century Village T & YF,,A,106,Occupied,,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,200,New Century Village T & YF,,A,200,Occupied,,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,201,New Century Village T & YF,,A,201,Occupied,,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,202,New Century Village T & YF,,A,202,Occupied,,Family with children,Susan,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,203,New Century Village T & YF,,A,203,Occupied,,Family with children,Susan,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,204,New Century Village T & YF,,A,204,"Client Assigned, Awaiting Move-In",,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,205,New Century Village T & YF,,A,205,"Not Occupied, Not Advertising",,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,206,New Century Village T & YF,,A,206,Occupied,,Family with children,Kathryn/Melissa,1 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,101,New Century Village Other PSH,,C,101,Occupied,,Family with children,Susan,2 Bedroom,,Yes,Dedicated,18-24,30%,,New Century Village,
2507 Howard Ave.,102,New Century Village T & YF,,C,102,Occupied,,Family with children,Susan,2 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,103,New Century Village T & YF,,C,103,Occupied,,Family with children,Susan,2 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,201,New Century Village T & YF,,C,201,Occupied,,Family with children,Susan,2 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,202,New Century Village T & YF,,C,202,Transitioning/Readying for new Client,,Family with children,Kathryn/Melissa,2 Bedroom,,No,Prioritized,18-24,30%,,New Century Village,
2507 Howard Ave.,203,New Century Village MH PSH,,C,203,"Client Assigned, Awaiting Move-In",,Family with children,Kathryn/Melissa,2 Bedroom,,Yes,Dedicated,18-24,30%,,New Century Village,
8325A 272nd St. NW,1,Stanwood House,,1,1,Occupied,,Non-Dedicated,Siobhan,2 bedroom,,No,Prioritized,Unspecified,,,Shelter,
3315 Broadway Ave.,201,Station Place Family with Children FDTC,Station Place OPH,1,201,Occupied,,Family with children,Michelle,2 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,202,Station Place Young Adult,Station Place OPH,1,202,"Client Assigned, Awaiting Move-In",,Individual OR Individual with child,Maribeth,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,203,Station Place,Station Place OPH,1,203,"Client Assigned, Awaiting Move-In",,Family with children,Kevin,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,204,Station Place Family with Children FDTC,Station Place OPH,1,204,"Client Assigned, Awaiting Move-In",,Family with children,Michelle,1 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,205,Station Place Young Adult,Station Place OPH,1,205,"Client Assigned, Awaiting Move-In",,Individual OR Individual with child,Maribeth,1 Bedroom,,No,Prioritized,18-24,,PBV, posted with the county 5/08 waiting for a referral. Referral received 5/17; emailed navigator for contact info of client 5/23./ navi called 5/26 to give us contact information CT was in the hospital just had a baby.// app sent to certs 5/31.//screening sent to Kathyrn to review 06/06. Kathryn approved moving forward 6/7./certs to call and start REA and also ask to move to SP due to this unit taking a long time to turn7/19. ,
3315 Broadway Ave.,206,Station Place,Station Place OPH,1,206,"Client Assigned, Awaiting Move-In",,Individual,Michelle,Studio,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,207,Station Place,Station Place OPH,1,207,Occupied,,Family with children,Kevin,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,209,Station Place Young Adult,Station Place OPH,1,209,Occupied,,Individual OR Individual with child,Maribeth,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,210,Station Place Young Adult,Station Place OPH,1,210,Occupied,,Individual OR Individual with child,Maribeth,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,211,Station Place PSH,Station Place PSH,1,211,Occupied,,Individual OR Individual with child,Michelle,Studio,,"Yes, CD",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,212,Station Place CoC Beachwood,Station Place CoC Beachwood,1,212,Occupied,,Individual OR Individual with child,Maribeth,Studio,,Yes,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,213,Station Place Veteran,Station Place VASH,1,213,Occupied,,Individual,Joanne,1 Bedroom,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,214,Station Place,Station Place OPH,1,214,Occupied,,Family with children,Michelle,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,215,Station Place Family with Children FDTC,Station Place OPH,1,215,"Client Assigned, Awaiting Move-In",,Family with children,Michelle,1 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,216,Station Place Young Adult,Station Place OPH,1,216,Occupied,,Individual OR Individual with child,Michelle,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,217,Station Place Veteran,Station Place VASH,1,217,Advertising,,Individual,Joanne,Studio,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,218,Station Place Family with Children FDTC,Station Place OPH,1,218,Occupied,,Family with children,Michelle,1 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,219,Station Place Young Adult,Station Place OPH,1,219,Occupied,,Individual OR Individual with child,Michelle,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,221,Station Place,Station Place OPH,1,221,Occupied,,Individual OR Individual with child,Michelle,Studio,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,222,Station Place Veteran,Station Place VASH,1,222,Occupied,,Individual,Joanne,1 Bedroom,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,301,Station Place Family with Children FDTC,Station Place OPH,1,301,"Client Assigned, Awaiting Move-In",,Family with children,Michelle,2 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,302,Station Place PSH,Station Place PSH,1,302,Occupied,,Individual OR Individual with child,Kevin,Studio,,"Yes, CD",Prioritized,Unspecified,,PBV,,
